奥迪A5
基本信息
整备质量[kg],"1615
","1640
","1720
","1640
","1720
","1745
","1665
","1705
","1810
"
座位数[个],"4
","5
","5
","5
","5
","4
","4
","5
","4
"
行李厢容积[L],"480
","480
","480
","480
","480
","480
","480
","480
","480
"
油箱容积[L],"54.0
","54.0
","58.0
","54.0
","58.0
","54.0
","58.0
","58.0
","58.0
"
前轮胎规格,"245/40 R18
","245/40 R18
","255/35 R19
","245/40 R18
","255/35 R19
","245/40 R18
","255/35 R19
","255/35 R19
","255/35 R19
"
后轮胎规格,"245/40 R18
","245/40 R18
","255/35 R19
","245/40 R18
","255/35 R19
","245/40 R18
","255/35 R19
","255/35 R19
","255/35 R19
"
备胎,"非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
","非全尺寸
"
动力系统
发动机型号,"-
","DKY
","DKY
","DKY
","DKY
","-
","-
","-
","-
"
排量[mL],"1984
","1984
","1984
","1984
","1984
","1984
","1984
","1984
","1984
"
进气形式,"涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
","涡轮增压
"
缸体排列形式,"直列
","直列
","直列
","直列
","直列
","直列
","直列
","直列
","直列
"
气缸数,"4
","4
","4
","4
","4
","4
","4
","4
","4
"
最大功率[kW],"150
","150
","150
","150
","150
","150
","185
","185
","185
"
最大马力[Ps],"204
","204
","204
","204
","204
","204
","252
","252
","252
"
最大功率转速[rpm],"-
","-
","-
","-
","-
","-
","5000-6000
","5000-6000
","5000-6000
"
最大扭矩[N·m],"320
","320
","320
","320
","320
","320
","370
","370
","370
"
最大扭矩转速[rpm],"-
","-
","-
","-
","-
","-
","1600-4500
","1600-4500
","1600-4500
"
燃油标号,"95号
","95号
","95号
","95号
","95号
","95号
","95号
","95号
","95号
"
供油方式,"混合喷射
","混合喷射
","混合喷射
","混合喷射
","混合喷射
","混合喷射
","混合喷射
","混合喷射
","混合喷射
"
变速箱类型,"湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
","湿式双离合
"
挡位个数,"7
","7
","7
","7
","7
","7
","7
","7
","7
"
底盘制动
驱动形式,"前轮驱动
","前轮驱动
","适时四驱
","前轮驱动
","适时四驱
","前轮驱动
","适时四驱
","适时四驱
","适时四驱
"
前悬架类型,"多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
"
后悬架类型,"多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
"
助力类型,"电动助力
","电动助力
","电动助力
","电动助力
","电动助力
","电动助力
","电动助力
","电动助力
","电动助力
"
可调悬架功能,"○选配4400元
","○选配4400元
","○选配4400元
","○选配4400元
","○选配4400元
","○选配4400元
","○选配4400元
","○选配4400元
","○选配4400元
"
可调悬架种类,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
前轮制动类型,"通风盘
","通风盘
","通风盘
","通风盘
","通风盘
","通风盘
","通风盘
","通风盘
","通风盘
"
后轮制动类型,"盘式
","盘式
","盘式
","盘式
","盘式
","盘式
","盘式
","盘式
","盘式
"
驻车制动类型,"电子驻车
","电子驻车
","电子驻车
","电子驻车
","电子驻车
","电子驻车
","电子驻车
","电子驻车
","电子驻车
"
车体结构,"承载式
","承载式
","承载式
","承载式
","承载式
","承载式
","承载式
","承载式
","承载式
"
限滑差速器/差速锁,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
安全配置
防抱死制动(ABS),"●
","●
","●
","●
","●
","●
","●
","●
","●
"
制动力分配(EBD/CBC等),"●
","●
","●
","●
","●
","●
","●
","●
","●
"
制动辅助(BA/EBA等),"●
","●
","●
","●
","●
","●
","●
","●
","●
"
牵引力控制(ARS/TCS等),"●
","●
","●
","●
","●
","●
","●
","●
","●
"
车身稳定控制(ESP/DSC等),"●
","●
","●
","●
","●
","●
","●
","●
","●
"
主驾驶安全气囊,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
副驾驶安全气囊,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
前侧气囊,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
后侧气囊,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
侧安全气帘,"●
","●
","●
","●
","●
","-
","●
","●
","-
"
膝部气囊,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
安全带气囊,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
后排中央气囊,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
被动行人保护,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
胎压监测,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
零胎压续行轮胎,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
儿童座椅接口(ISO FIX/LATCH),"●
","●
","●
","●
","●
","●
","●
","●
","●
"
驾驶辅助
前倒车雷达,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
后倒车雷达,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
倒车车侧预警系统,"○
","○
","○
","○
","○
","○
","○
","○
","○
"
驻车影像系统,"○后方影像5800元
○360度全景摄像24000元
","○后方影像5800元
○360度全景摄像24000元
","●后方影像
○360度全景摄像18200元
","○后方影像5800元
○360度全景摄像24000元
","●后方影像
○360度全景摄像18200元
","○后方影像5800元
○360度全景摄像24000元
","●后方影像
○360度全景摄像14700元
","●后方影像
○360度全景摄像14700元
","●后方影像
○360度全景摄像14700元
"
巡航系统,"○定速巡航3900元
○ACC自适应巡航20000元
","○定速巡航3900元
○ACC自适应巡航20000元
","●定速巡航
○ACC自适应巡航16100元
","○定速巡航3900元
○ACC自适应巡航20000元
","●定速巡航
○ACC自适应巡航16100元
","○定速巡航3900元
○ACC自适应巡航20000元
","●ACC自适应巡航
","●ACC自适应巡航
","●ACC自适应巡航
"
驾驶模式选择,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
车道保持,"○选配6500元
","○选配6500元
","○选配6500元
","○选配6500元
","○选配6500元
","○选配6500元
","●
","●
","●
"
车道偏离预警,"○
","○
","○
","○
","○
","○
","●
","●
","●
"
道路交通标识识别,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
并线辅助,"○
","○
","○
","○
","○
","○
","○
","○
","○
"
碰撞报警/主动刹车,"○选配5500元
","○选配5500元
","○选配5500元
","○选配5500元
","○选配5500元
","○选配5500元
","○选配5500元
","○选配5500元
","○选配5500元
"
疲劳提醒,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
自动泊车,"○选配3500元
","○选配3500元
","○选配3500元
","○选配3500元
","○选配3500元
","○选配3500元
","●
","●
","●
"
遥控泊车,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
发动机启停,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
自动驾驶辅助,"○
","○
","○
","○
","○
","○
","○
","○
","○
"
自动驻车,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
上坡辅助,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
陡坡缓降,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
夜视系统,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
可变齿比转向,"○选配12900元
","○选配12900元
","○选配12900元
","○选配12900元
","○选配12900元
","○选配12900元
","○选配12900元
","○选配12900元
","○选配12900元
"
整体主动转向系统,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
外部配置
近光灯光源,"●LED
","●LED
","●LED
","●LED
","●LED
","●LED
","●LED
","●LED
","●LED
"
远光灯光源,"●LED
○激光5500元
","●LED
○激光5500元
","●LED
○激光5500元
","●LED
○激光5500元
","●LED
○激光5500元
","●LED
○激光5500元
","●激光
","●激光
","●激光
"
灯光特色功能,"●矩阵式
","●矩阵式
","●矩阵式
","●矩阵式
","●矩阵式
","●矩阵式
","●矩阵式
","●矩阵式
","●矩阵式
"
LED日间行车灯,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
大灯功能,"●自动开闭
●自动远近光
●自动转向
","●自动开闭
●自动远近光
●自动转向
","●自动开闭
●自动远近光
●自动转向
","●自动开闭
●自动远近光
●自动转向
","●自动开闭
●自动远近光
●自动转向
","●自动开闭
●自动远近光
●自动转向
","●自动开闭
●自动远近光
●自动转向
","●自动开闭
●自动远近光
●自动转向
","●自动开闭
●自动远近光
●自动转向
"
前雾灯,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
大灯调节/清洗,"●高度调节
○大灯清洗
","●高度调节
○大灯清洗
","●高度调节
○大灯清洗
","●高度调节
○大灯清洗
","●高度调节
○大灯清洗
","●高度调节
○大灯清洗
","●高度调节
●大灯清洗
","●高度调节
●大灯清洗
","●高度调节
●大灯清洗
"
天窗类型,"●单天窗
","●单天窗
","●单天窗
","●单天窗
","●单天窗
","-
","●单天窗
","●单天窗
","-
"
运动外观套件,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
轮圈材质,"铝合金轮圈
","铝合金轮圈
","铝合金轮圈
","铝合金轮圈
","铝合金轮圈
","铝合金轮圈
","铝合金轮圈
","铝合金轮圈
","铝合金轮圈
"
前电动车窗,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
后电动车窗,"-
","●
","●
","●
","●
","-
","-
","●
","-
"
车窗一键升降,"●全车
","●全车
","●全车
","●全车
","●全车
","●全车
","●全车
","●全车
","●全车
"
车窗防夹手功能,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
多层隔音玻璃,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
外后视镜电动调节,"●电动调节
●后视镜加热
○电动折叠4800元
○后视镜记忆
","●电动调节
●后视镜加热
○电动折叠4800元
○后视镜记忆
","●电动调节
●后视镜加热
○电动折叠4800元
○后视镜记忆
","●电动调节
●后视镜加热
○电动折叠4800元
○后视镜记忆
","●电动调节
●后视镜加热
○电动折叠4800元
○后视镜记忆
","●电动调节
●后视镜加热
○电动折叠4800元
○后视镜记忆
","●电动调节
●电动折叠
●后视镜加热
○后视镜记忆
","●电动调节
●电动折叠
●后视镜加热
○后视镜记忆
","●电动调节
●电动折叠
●后视镜加热
○后视镜记忆
"
外后视镜自动防眩目,"○
","○
","○
","○
","○
","○
","●
","●
","●
"
内后视镜自动防眩目,"○选配2500元
","○选配2500元
","○选配2500元
","○选配2500元
","○选配2500元
","○选配2500元
","●
","●
","●
"
流媒体内后视镜,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
流媒体外后视镜,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
隔热/隐私玻璃,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
后排侧遮阳帘,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
后遮阳帘,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
前雨刷器,"●感应雨刷
","●感应雨刷
","●感应雨刷
","●感应雨刷
","●感应雨刷
","●感应雨刷
","●感应雨刷
","●感应雨刷
","●感应雨刷
"
后雨刷器,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
可加热喷水嘴,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
电吸门,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
电动侧滑门,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
行李厢开启功能,"○自动感应
","○电动开合
○自动感应
","○电动开合
○自动感应
","○电动开合
○自动感应
","○电动开合
○自动感应
","○自动感应
","●自动感应
","●电动开合
●自动感应
","●自动感应
"
车顶行李架,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
中控锁,"●遥控中控
","●遥控中控
","●遥控中控
","●遥控中控
","●遥控中控
","●遥控中控
","●遥控中控
","●遥控中控
","●遥控中控
"
智能钥匙,"●无钥匙启动
○智能进入7500元
","●无钥匙启动
○智能进入7500元
","●无钥匙启动
○智能进入7500元
","●无钥匙启动
○智能进入7500元
","●无钥匙启动
○智能进入7500元
","●无钥匙启动
○智能进入7500元
","●智能进入
●无钥匙启动
","●智能进入
●无钥匙启动
","●智能进入
●无钥匙启动
"
APP远程遥控功能,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
远程启动功能,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
主动闭合式进气格栅,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
尾翼/扰流板,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
内部配置
内饰材质,"●塑料
●皮质
●金属
","●塑料
●皮质
●金属
","●塑料
●皮质
●金属
","●塑料
●皮质
●金属
","●塑料
●皮质
●金属
","●塑料
●皮质
●金属
","●塑料
●皮质
●金属
","●塑料
●皮质
●金属
","●塑料
●皮质
●金属
"
车内氛围灯,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
遮阳板化妆镜,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
方向盘材质,"●皮质
","●皮质
","●皮质
","●皮质
","●皮质
","●皮质
","●皮质
","●皮质
","●皮质
"
多功能方向盘,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
方向盘调节,"●上下调节
●前后调节
","●上下调节
●前后调节
","●上下调节
●前后调节
","●上下调节
●前后调节
","●上下调节
●前后调节
","●上下调节
●前后调节
","●上下调节
●前后调节
","●上下调节
●前后调节
","●上下调节
●前后调节
"
方向盘加热,"○选配2500元
","○选配2500元
","○选配2500元
","○选配2500元
","○选配2500元
","○选配2500元
","○选配2500元
","○选配2500元
","○选配2500元
"
方向盘换挡,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
前排空调,"●双温区自动空调
","●双温区自动空调
","●双温区自动空调
","●双温区自动空调
","●双温区自动空调
","●双温区自动空调
","●双温区自动空调
","●双温区自动空调
","●双温区自动空调
"
后排空调,"●自动空调
","●自动空调
","●自动空调
","●自动空调
","●自动空调
","●自动空调
","●自动空调
","●自动空调
","●自动空调
"
车载空气净化器,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
车内PM2.5过滤装置,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
负离子发生器,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
香氛系统,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
车载冰箱,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
主动降噪,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
座椅配置
座椅材质,"●皮质
","●皮质
","●皮质
","●皮质
","●皮质
","●皮质
","●皮质
","●皮质
","●皮质
"
运动风格座椅,"○选配5000元
","○选配5000元
","●
","○选配5000元
","●
","○选配5000元
","●
","●
","●
"
主座椅电动调节,"●电动调节
○带记忆电动调节2700元
","●电动调节
○带记忆电动调节2700元
","●电动调节
○带记忆电动调节2700元
","●电动调节
○带记忆电动调节2700元
","●电动调节
○带记忆电动调节2700元
","●电动调节
○带记忆电动调节2700元
","●电动调节
○带记忆电动调节2700元
","●电动调节
○带记忆电动调节2700元
","●电动调节
○带记忆电动调节2700元
"
副座椅电动调节,"●电动调节
","●电动调节
","●电动调节
","●电动调节
","●电动调节
","●电动调节
","●电动调节
","●电动调节
","●电动调节
"
主座椅调节方式,"●靠背调节
●高低调节
●腰部调节
●前后调节
○腿托调节
","●靠背调节
●高低调节
●腰部调节
●前后调节
○腿托调节
","●靠背调节
●高低调节
●腰部调节
●腿托调节
●前后调节
","●靠背调节
●高低调节
●腰部调节
●前后调节
○腿托调节
","●靠背调节
●高低调节
●腰部调节
●腿托调节
●前后调节
","●靠背调节
●高低调节
●腰部调节
●前后调节
○腿托调节
","●靠背调节
●高低调节
●腰部调节
●腿托调节
●前后调节
","●靠背调节
●高低调节
●腰部调节
●腿托调节
●前后调节
","●靠背调节
●高低调节
●腰部调节
●腿托调节
●前后调节
"
副座椅调节方式,"●靠背调节
●高低调节
●腰部调节
●前后调节
○腿托调节
","●靠背调节
●高低调节
●腰部调节
●前后调节
○腿托调节
","●靠背调节
●高低调节
●腰部调节
●腿托调节
●前后调节
","●靠背调节
●高低调节
●腰部调节
●前后调节
○腿托调节
","●靠背调节
●高低调节
●腰部调节
●腿托调节
●前后调节
","●靠背调节
●高低调节
●腰部调节
●前后调节
○腿托调节
","●靠背调节
●高低调节
●腰部调节
●腿托调节
●前后调节
","●靠背调节
●高低调节
●腰部调节
●腿托调节
●前后调节
","●靠背调节
●高低调节
●腰部调节
●腿托调节
●前后调节
"
第二排座椅电动调节,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
第二排座椅调节方式,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
前排座椅功能,"○加热4800元
○通风7000元
○按摩2900元
","○加热4800元
○通风7000元
○按摩2900元
","●加热
○通风7000元
○按摩2900元
","○加热4800元
○通风7000元
○按摩2900元
","●加热
○通风7000元
○按摩2900元
","○加热4800元
○通风7000元
○按摩2900元
","●加热
○通风7000元
○按摩2900元
","●加热
○通风7000元
○按摩2900元
","●加热
○通风7000元
○按摩2900元
"
后排座椅功能,"○加热4800元
","○加热4800元
","○加热4800元
","○加热4800元
","○加热4800元
","○加热4800元
","○加热4800元
","○加热4800元
","○加热4800元
"
前中央扶手,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
后中央扶手,"●
","●
","●
","●
","●
","-
","●
","●
","-
"
第三排座椅,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
座椅布局,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
后排座椅放倒方式,"●比例放倒
","●比例放倒
","●比例放倒
","●比例放倒
","●比例放倒
","●比例放倒
","●比例放倒
","●比例放倒
","●比例放倒
"
后排杯架,"●
","●
","●
","●
","●
","○选配400元
","●
","●
","○选配400元
"
后排折叠桌板,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
信息娱乐
中控彩色液晶屏,"●触控式液晶屏
","●触控式液晶屏
","●触控式液晶屏
","●触控式液晶屏
","●触控式液晶屏
","●触控式液晶屏
","●触控式液晶屏
","●触控式液晶屏
","●触控式液晶屏
"
液晶屏尺寸,"●10.1
","●10.1
","●10.1
","●10.1
","●10.1
","●10.1
","●10.1
","●10.1
","●10.1
"
全液晶仪表盘,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
行车电脑显示屏,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
液晶仪表尺寸,"12.3
","12.3
","12.3
","12.3
","12.3
","12.3
","12.3
","12.3
","12.3
"
HUD平视显示,"○选配12700元
","○选配12700元
","○选配12700元
","○选配12700元
","○选配12700元
","○选配12700元
","○选配12700元
","○选配12700元
","○选配12700元
"
GPS导航系统,"●GPS导航
●实时路况
","●GPS导航
●实时路况
","●GPS导航
●实时路况
","●GPS导航
●实时路况
","●GPS导航
●实时路况
","●GPS导航
●实时路况
","●GPS导航
●实时路况
","●GPS导航
●实时路况
","●GPS导航
●实时路况
"
紧急道路救援,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
蓝牙/WiFi连接,"●蓝牙
","●蓝牙
","●蓝牙
","●蓝牙
","●蓝牙
","●蓝牙
","●蓝牙
","●蓝牙
","●蓝牙
"
车载APP应用,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
4G网络,"●
","●
","●
","●
","●
","●
","●
","●
","●
"
车载WiFi热点,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
OTA升级,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
语音控制,"●语音控制
","●语音控制
","●语音控制
","●语音控制
","●语音控制
","●语音控制
","●语音控制
","●语音控制
","●语音控制
"
手机互联,"●CarPlay
●CarLife
","●CarPlay
●CarLife
","●CarPlay
●CarLife
","●CarPlay
●CarLife
","●CarPlay
●CarLife
","●CarPlay
●CarLife
","●CarPlay
●CarLife
","●CarPlay
●CarLife
","●CarPlay
●CarLife
"
手机无线充电,"○选配3500元
","○选配3500元
","○选配3500元
","○选配3500元
","○选配3500元
","○选配3500元
","○选配3500元
","○选配3500元
","○选配3500元
"
手势控制系统,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
CD/DVD,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
外接音源接口,"●USB
","●USB
","●USB
","●USB
","●USB
","●USB
","●USB
","●USB
","●USB
"
车载行车记录仪,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
车载电视,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
后排控制多媒体,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
扬声器数量[个],"●9-12
○12个以上
","●9-12
○12个以上
","●9-12
○12个以上
","●9-12
○12个以上
","●9-12
○12个以上
","●9-12
○12个以上
","●12个以上
","●12个以上
","●12个以上
"
后排液晶屏,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
音响品牌,"○B＆O11100元
","○B＆O11100元
","○B＆O11100元
","○B＆O11100元
","○B＆O11100元
","○B＆O11100元
","●B＆O
","●B＆O
","●B＆O
"
车载220V电源,"-
","-
","-
","-
","-
","-
","-
","-
","-
"
选配包
停车辅助增强版,"○选配3500
","○选配3500
","○选配3500
","○选配3500
","○选配3500
","○选配3500
","-
","-
","-
"
变道辅助带预防安全系统后部版,"○选配10500
","○选配10500
","○选配10500
","○选配10500
","○选配10500
","○选配10500
","○选配10500
","○选配10500
","○选配10500
"
城市及驻车辅助包,"○选配暂无价格
","○选配暂无价格
","○选配暂无价格
","○选配暂无价格
","○选配暂无价格
","○选配暂无价格
","○选配暂无价格
","○选配暂无价格
","○选配暂无价格
"
城市辅助包,"○选配暂无价格
","○选配暂无价格
","○选配暂无价格
","○选配暂无价格
","○选配暂无价格
","○选配暂无价格
","-
","-
","-
"
奥迪主动车道保持,"○选配6500
","○选配6500
","○选配6500
","○选配6500
","○选配6500
","○选配6500
","-
","-
","-
"
自适应驾驶辅助系统,"○选配暂无价格
","○选配暂无价格
","○选配暂无价格
","○选配暂无价格
","○选配暂无价格
","○选配暂无价格
","-
","-
","-
"
驻车辅助包,"○选配暂无价格
","○选配暂无价格
","○选配暂无价格
","○选配暂无价格
","○选配暂无价格
","○选配暂无价格
","○选配暂无价格
","○选配暂无价格
","○选配暂无价格
"
