奥迪Q2L
基本信息
车款名称,"21款 35 TFSI 时尚致雅型
","21款 35 TFSI 豪华致雅型
","21款 35 TFSI 进取动感型
","21款 35 TFSI 时尚动感型
","21款 35 TFSI 豪华动感型
"
可调悬架功能,"-
","-
","-
","-
","-
"
可调悬架种类,"-
","-
","-
","-
","-
"
前轮制动类型,"通风盘
","通风盘
","通风盘
","通风盘
","通风盘
"
后轮制动类型,"盘式
","盘式
","盘式
","盘式
","盘式
"
驻车制动类型,"电子驻车
","电子驻车
","电子驻车
","电子驻车
","电子驻车
"
车体结构,"承载式
","承载式
","承载式
","承载式
","承载式
"
限滑差速器/差速锁,"-
","-
","-
","-
","-
"
安全配置
防抱死制动(ABS),"●
","●
","●
","●
","●
"
制动力分配(EBD/CBC等),"●
","●
","●
","●
","●
"
制动辅助(BA/EBA等),"●
","●
","●
","●
","●
"
牵引力控制(ARS/TCS等),"●
","●
","●
","●
","●
"
车身稳定控制(ESP/DSC等),"●
","●
","●
","●
","●
"
主驾驶安全气囊,"●
","●
","●
","●
","●
"
副驾驶安全气囊,"●
","●
","●
","●
","●
"
前侧气囊,"●
","●
","●
","●
","●
"
后侧气囊,"-
","-
","-
","-
","-
"
侧安全气帘,"●
","●
","●
","●
","●
"
膝部气囊,"-
","-
","-
","-
","-
"
安全带气囊,"-
","-
","-
","-
","-
"
后排中央气囊,"-
","-
","-
","-
","-
"
被动行人保护,"-
","-
","-
","-
","-
"
胎压监测,"●
","●
","●
","●
","●
"
零胎压续行轮胎,"-
","-
","-
","-
","-
"
儿童座椅接口(ISO FIX/LATCH),"●
","●
","●
","●
","●
"
驾驶辅助
前倒车雷达,"●
","●
","●
","●
","●
"
后倒车雷达,"●
","●
","●
","●
","●
"
倒车车侧预警系统,"-
","-
","-
","-
","-
"
驻车影像系统,"●后方影像
","●后方影像
","○后方影像2500元
","●后方影像
","●后方影像
"
巡航系统,"●定速巡航
○ACC自适应巡航8500元
","●定速巡航
○ACC自适应巡航8500元
","○定速巡航1000元
○ACC自适应巡航9500元
","●定速巡航
○ACC自适应巡航8500元
","●定速巡航
○ACC自适应巡航8500元
"
驾驶模式选择,"○选配2000元
","○选配2000元
","○选配2000元
","○选配2000元
","○选配2000元
"
车道保持,"○
","○
","○
","○
","○
"
车道偏离预警,"○
","○
","○
","○
","○
"
道路交通标识识别,"-
","-
","-
","-
","-
"
并线辅助,"○选配5000元
","○选配5000元
","○选配5000元
","○选配5000元
","○选配5000元
"
碰撞报警/主动刹车,"●
","●
","●
","●
","●
"
疲劳提醒,"-
","-
","-
","-
","-
"
自动泊车,"○选配2500元
","○选配2500元
","○选配2500元
","○选配2500元
","○选配2500元
"
遥控泊车,"-
","-
","-
","-
","-
"
发动机启停,"●
","●
","●
","●
","●
"
自动驾驶辅助,"-
","-
","-
","-
","-
"
自动驻车,"●
","●
","●
","●
","●
"
上坡辅助,"●
","●
","●
","●
","●
"
陡坡缓降,"-
","-
","-
","-
","-
"
夜视系统,"-
","-
","-
","-
","-
"
可变齿比转向,"●
","●
","●
","●
","●
"
整体主动转向系统,"-
","-
","-
","-
","-
"
外部配置
近光灯光源,"●LED
","●LED
","●LED
","●LED
","●LED
"
远光灯光源,"●LED
","●LED
","●LED
","●LED
","●LED
"
灯光特色功能,"-
","-
","-
","-
","-
"
LED日间行车灯,"●
","●
","●
","●
","●
"
大灯功能,"●自动开闭
○自动远近光
","●自动开闭
○自动远近光
","●自动开闭
○自动远近光
","●自动开闭
○自动远近光
","●自动开闭
○自动远近光
"
前雾灯,"-
","-
","-
","-
","-
"
大灯调节/清洗,"●高度调节
","●高度调节
","●高度调节
","●高度调节
","●高度调节
"
天窗类型,"●单天窗
","●单天窗
","●单天窗
","●单天窗
","●单天窗
"
运动外观套件,"-
","-
","●
","●
","●
"
轮圈材质,"铝合金轮圈
","铝合金轮圈
","铝合金轮圈
","铝合金轮圈
","铝合金轮圈
"
前电动车窗,"●
","●
","●
","●
","●
"
后电动车窗,"●
","●
","●
","●
","●
"
车窗一键升降,"●全车
","●全车
","●全车
","●全车
","●全车
"
车窗防夹手功能,"●
","●
","●
","●
","●
"
多层隔音玻璃,"-
","-
","-
","-
","-
"
外后视镜电动调节,"●电动调节
●后视镜加热
○电动折叠1000元
","●电动调节
●电动折叠
●后视镜加热
","●电动调节
●后视镜加热
○电动折叠1000元
","●电动调节
●后视镜加热
○电动折叠1000元
","●电动调节
●电动折叠
●后视镜加热
"
外后视镜自动防眩目,"○
","○选配1000元
","○
","○
","○选配1000元
"
内后视镜自动防眩目,"○选配1500元
","●
","○选配1500元
","○选配1500元
","●
"
流媒体内后视镜,"-
","-
","-
","-
","-
"
流媒体外后视镜,"-
","-
","-
","-
","-
"
隔热/隐私玻璃,"○选配2000元
","○选配2000元
","●
","●
","●
"
后排侧遮阳帘,"-
","-
","-
","-
","-
"
后遮阳帘,"-
","-
","-
","-
","-
"
前雨刷器,"●感应雨刷
","●感应雨刷
","●感应雨刷
","●感应雨刷
","●感应雨刷
"
后雨刷器,"●后雨刷
","●后雨刷
","●后雨刷
","●后雨刷
","●后雨刷
"
可加热喷水嘴,"-
","-
","-
","-
","-
"
电吸门,"-
","-
","-
","-
","-
"
电动侧滑门,"-
","-
","-
","-
","-
"
行李厢开启功能,"○电动开合3000元
","●电动开合
","○电动开合3000元
","○电动开合3000元
","●电动开合
"
车顶行李架,"-
","-
","-
","-
","-
"
中控锁,"●遥控中控
","●遥控中控
","●遥控中控
","●遥控中控
","●遥控中控
"
智能钥匙,"●智能进入
●无钥匙启动
","●智能进入
●无钥匙启动
","○智能进入3000元
○无钥匙启动
","●智能进入
●无钥匙启动
","●智能进入
●无钥匙启动
"
APP远程遥控功能,"-
","-
","-
","-
","-
"
远程启动功能,"-
","-
","-
","-
","-
"
主动闭合式进气格栅,"-
","-
","-
","-
","-
"
尾翼/扰流板,"-
","-
","-
","-
","-
"
内部配置
内饰材质,"●塑料
●皮质
","●塑料
●皮质
","●塑料
●皮质
","●塑料
●皮质
","●塑料
●皮质
"
车内氛围灯,"●
","●
","○选配2500元
","●
","●
"
遮阳板化妆镜,"●
","●
","●
","●
","●
"
方向盘材质,"●皮质
","●皮质
","●皮质
","●皮质
","●皮质
"
多功能方向盘,"●
","●
","●
","●
","●
"
方向盘调节,"●上下调节
●前后调节
","●上下调节
●前后调节
","●上下调节
●前后调节
","●上下调节
●前后调节
","●上下调节
●前后调节
"
方向盘加热,"-
","-
","-
","-
","-
"
方向盘换挡,"○选配500元
","○选配500元
","○选配500元
","○选配500元
","○选配500元
"
前排空调,"●双温区自动空调
","●双温区自动空调
","●手动空调
○双温区自动空调3000元
","●双温区自动空调
","●双温区自动空调
"
后排空调,"-
","-
","-
","-
","-
"
车载空气净化器,"-
","-
","-
","-
","-
"
车内PM2.5过滤装置,"-
","-
","-
","-
","-
"
负离子发生器,"-
","-
","-
","-
","-
"
香氛系统,"-
","-
","-
","-
","-
"
车载冰箱,"-
","-
","-
","-
","-
"
主动降噪,"-
","-
","-
","-
","-
"
座椅配置
座椅材质,"●织物皮质混合
○皮质6000元
","●皮质
","●织物
○皮质
○织物皮质混合
","●织物皮质混合
○皮质4500元
","●皮质
"
运动风格座椅,"○选配1500元
","●
","○
","●
","●
"
主座椅电动调节,"●电动调节
","●电动调节
","○电动调节
","●电动调节
","●电动调节
"
副座椅电动调节,"●电动调节
","●电动调节
","○电动调节
","●电动调节
","●电动调节
"
主座椅调节方式,"●靠背调节
●高低调节
●腰部调节
●前后调节
","●靠背调节
●高低调节
●腰部调节
●前后调节
","●靠背调节
●高低调节
●前后调节
○腰部调节
","●靠背调节
●高低调节
●腰部调节
●前后调节
","●靠背调节
●高低调节
●腰部调节
●前后调节
"
副座椅调节方式,"●靠背调节
●高低调节
●腰部调节
●前后调节
","●靠背调节
●高低调节
●腰部调节
●前后调节
","●靠背调节
●高低调节
●前后调节
○腰部调节
","●靠背调节
●高低调节
●腰部调节
●前后调节
","●靠背调节
●高低调节
●腰部调节
●前后调节
"
第二排座椅电动调节,"-
","-
","-
","-
","-
"
第二排座椅调节方式,"-
","-
","-
","-
","-
"
前排座椅功能,"○加热2000元
","○加热2000元
","○加热2000元
","○加热2000元
","○加热2000元
"
后排座椅功能,"-
","-
","-
","-
","-
"
前中央扶手,"●
","●
","●
","●
","●
"
后中央扶手,"●
","●
","●
","●
","●
"
第三排座椅,"-
","-
","-
","-
","-
"
座椅布局,"-
","-
","-
","-
","-
"
后排座椅放倒方式,"●比例放倒
","●比例放倒
","●比例放倒
","●比例放倒
","●比例放倒
"
后排杯架,"●
","●
","●
","●
","●
"
后排折叠桌板,"-
","-
","-
","-
","-
"
信息娱乐
中控彩色液晶屏,"●普通液晶屏
","●普通液晶屏
","●普通液晶屏
","●普通液晶屏
","●普通液晶屏
"
液晶屏尺寸,"●7.0
○8.3
","●8.3
","●7.0
○8.3
","●7.0
○8.3
","●8.3
"
全液晶仪表盘,"○选配6200元
","●
","○选配6200元
","○选配6200元
","●
"
行车电脑显示屏,"●
","●
","●
","●
","●
"
液晶仪表尺寸,"-
","12.3
","-
","-
","12.3
"
HUD平视显示,"-
","-
","-
","-
","-
"
GPS导航系统,"○GPS导航
○实时路况
","●GPS导航
●实时路况
","○GPS导航
○实时路况
","○GPS导航
○实时路况
","●GPS导航
●实时路况
"
紧急道路救援,"-
","-
","-
","-
","-
"
蓝牙/WiFi连接,"●蓝牙
","●蓝牙
","●蓝牙
","●蓝牙
","●蓝牙
"
车载APP应用,"-
","-
","-
","-
","-
"
4G网络,"○
","●
","○
","○
","●
"
车载WiFi热点,"-
","-
","-
","-
","-
"
OTA升级,"-
","-
","-
","-
","-
"
语音控制,"●语音控制
","●语音控制
","●语音控制
","●语音控制
","●语音控制
"
手机互联,"●CarPlay
","●CarPlay
","●CarPlay
","●CarPlay
","●CarPlay
"
手机无线充电,"-
","-
","-
","-
","-
"
手势控制系统,"-
","-
","-
","-
","-
"
CD/DVD,"●单碟cd
","●单碟cd
","●单碟cd
","●单碟cd
","●单碟cd
"
外接音源接口,"●AUX
●USB
●SD卡槽
","●AUX
●USB
●SD卡槽
","●AUX
●USB
●SD卡槽
","●AUX
●USB
●SD卡槽
","●AUX
●USB
●SD卡槽
"
车载行车记录仪,"-
","-
","-
","-
","-
"
车载电视,"-
","-
","-
","-
","-
"
后排控制多媒体,"-
","-
","-
","-
","-
"
扬声器数量[个],"●7-8
○9-123000元
○12个以上7000元
","●7-8
○9-123000元
○12个以上7000元
","●7-8
○9-123000元
○12个以上7000元
","●7-8
○9-123000元
○12个以上7000元
","●7-8
○9-123000元
○12个以上7000元
"
后排液晶屏,"-
","-
","-
","-
","-
"
音响品牌,"○B＆O7000元
","○B＆O7000元
","○B＆O7000元
","○B＆O7000元
","○B＆O7000元
"
车载220V电源,"-
","-
","-
","-
","-
"
